0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:01:53 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 13469
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:01:54 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:01:55 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:02:54 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:03:01 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:03:01 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:03:04 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13531
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:03:51 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:05:09 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:05:09 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7518
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:05:11 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9121
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:05:13 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 14514
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:07:19 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 14558
0:0:0:0:0:0:0:1 - - [20/Jan/2020:12:07:19 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 304 -
